cod_municipio_ibge,nom_municipio,nom_regional,qtd_populacao_estimada
420005,ABDON BATISTA,MEIO OESTE E SERRA CATARINENSE,2563
420010,ABELARDO LUZ,GRANDE OESTE,17904
420020,AGROLANDIA,ALTO VALE DO ITAJAI,10864
420030,AGRONOMICA,ALTO VALE DO ITAJAI,5448
420040,AGUA DOCE,MEIO OESTE E SERRA CATARINENSE,7145
420050,AGUAS DE CHAPECO,GRANDE OESTE,6486
420055,AGUAS FRIAS,GRANDE OESTE,2366
420060,AGUAS MORNAS,GRANDE FLORIANOPOLIS,6469
420070,ALFREDO WAGNER,GRANDE FLORIANOPOLIS,10036
420075,ALTO BELA VISTA,MEIO OESTE E SERRA CATARINENSE,1937
420080,ANCHIETA,GRANDE OESTE,5638
420090,ANGELINA,GRANDE FLORIANOPOLIS,4801
420100,ANITA GARIBALDI,MEIO OESTE E SERRA CATARINENSE,7133
420110,ANITAPOLIS,GRANDE FLORIANOPOLIS,3232
420120,ANTONIO CARLOS,GRANDE FLORIANOPOLIS,8513
420125,APIUNA,ALTO VALE DO ITAJAI,10743
420127,ARABUTA,MEIO OESTE E SERRA CATARINENSE,4267
420130,ARAQUARI,PLANALTO NORTE E NORDESTE,38129
420140,ARARANGUA,SUL,68228
420150,ARMAZEM,SUL,8674
420160,ARROIO TRINTA,MEIO OESTE E SERRA CATARINENSE,3550
420165,ARVOREDO,GRANDE OESTE,2240
420170,ASCURRA,ALTO VALE DO ITAJAI,7934
420180,ATALANTA,ALTO VALE DO ITAJAI,3210
420190,AURORA,ALTO VALE DO ITAJAI,5679
420195,BALNEARIO ARROIO DO SILVA,SUL,13071
420200,BALNEARIO CAMBORIU,FOZ DO RIO ITAJAI,142295
420205,BALNEARIO BARRA DO SUL,PLANALTO NORTE E NORDESTE,10795
420207,BALNEARIO GAIVOTA,SUL,10979
420208,BANDEIRANTE,GRANDE OESTE,2678
420209,BARRA BONITA,GRANDE OESTE,1677
420210,BARRA VELHA,PLANALTO NORTE E NORDESTE,29168
420213,BELA VISTA DO TOLDO,PLANALTO NORTE E NORDESTE,6337
420215,BELMONTE,GRANDE OESTE,2706
420220,BENEDITO NOVO,ALTO VALE DO ITAJAI,11652
420230,BIGUACU,GRANDE FLORIANOPOLIS,68481
420240,BLUMENAU,ALTO VALE DO ITAJAI,357199
420243,BOCAINA DO SUL,MEIO OESTE E SERRA CATARINENSE,3474
420245,BOMBINHAS,FOZ DO RIO ITAJAI,19769
420250,BOM JARDIM DA SERRA,MEIO OESTE E SERRA CATARINENSE,4743
420253,BOM JESUS,GRANDE OESTE,3010
420257,BOM JESUS DO OESTE,GRANDE OESTE,2142
420260,BOM RETIRO,MEIO OESTE E SERRA CATARINENSE,9966
420270,BOTUVERA,ALTO VALE DO ITAJAI,5246
420280,BRACO DO NORTE,SUL,33450
420285,BRACO DO TROMBUDO,ALTO VALE DO ITAJAI,3743
420287,BRUNOPOLIS,MEIO OESTE E SERRA CATARINENSE,2420
420290,BRUSQUE,ALTO VALE DO ITAJAI,134723
420300,CACADOR,MEIO OESTE E SERRA CATARINENSE,78595
420310,CAIBI,GRANDE OESTE,6148
420315,CALMON,MEIO OESTE E SERRA CATARINENSE,3346
420320,CAMBORIU,FOZ DO RIO ITAJAI,82989
420325,CAPAO ALTO,MEIO OESTE E SERRA CATARINENSE,2525
420330,CAMPO ALEGRE,PLANALTO NORTE E NORDESTE,11978
420340,CAMPO BELO DO SUL,MEIO OESTE E SERRA CATARINENSE,7016
420350,CAMPO ERE,GRANDE OESTE,8526
420360,CAMPOS NOVOS,MEIO OESTE E SERRA CATARINENSE,36244
420370,CANELINHA,GRANDE FLORIANOPOLIS,12240
420380,CANOINHAS,PLANALTO NORTE E NORDESTE,54401
420390,CAPINZAL,MEIO OESTE E SERRA CATARINENSE,22848
420395,CAPIVARI DE BAIXO,SUL,24871
420400,CATANDUVAS,MEIO OESTE E SERRA CATARINENSE,10861
420410,CAXAMBU DO SUL,GRANDE OESTE,3642
420415,CELSO RAMOS,MEIO OESTE E SERRA CATARINENSE,2728
420417,CERRO NEGRO,MEIO OESTE E SERRA CATARINENSE,3124
420419,CHAPADAO DO LAGEADO,ALTO VALE DO ITAJAI,2988
420420,CHAPECO,GRANDE OESTE,220367
420425,COCAL DO SUL,SUL,16684
420430,CONCORDIA,MEIO OESTE E SERRA CATARINENSE,74641
420435,CORDILHEIRA ALTA,GRANDE OESTE,4453
420440,CORONEL FREITAS,GRANDE OESTE,9981
420445,CORONEL MARTINS,GRANDE OESTE,2549
420450,CORUPA,PLANALTO NORTE E NORDESTE,15909
