country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-02-15,1,-1,-15,-1,3,1
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-02-16,-8,-4,-23,-7,-3,2
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-02-17,-8,-6,-30,5,17,-1
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-02-18,-9,-6,-32,5,16,-1
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-02-19,-4,-4,-8,6,17,-1
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-02-20,0,-1,-5,10,17,-2
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-02-21,0,4,-28,9,18,-2
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-02-22,5,9,9,21,1,0
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-02-23,7,13,16,-3,-2,2
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-02-24,-3,0,68,-17,-31,5
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-02-25,-23,-20,-3,-18,-40,9
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-02-26,-13,-7,-31,-1,7,3
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-02-27,-4,-2,-8,7,18,-1
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-02-28,-5,-2,-28,2,20,-1
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-02-29,-4,-2,-24,-6,5,2
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-03-01,-14,-4,-36,-15,-2,4
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-03-02,-13,-7,-52,-1,19,-1
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-03-03,-12,-7,-50,0,17,-1
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-03-04,-6,-4,-19,5,19,-1
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-03-05,-3,-2,-21,6,19,-2
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-03-06,2,3,-36,7,21,-3
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-03-07,10,8,-27,0,5,-1
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-03-08,2,2,-27,-6,0,1
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-03-09,-8,-4,-30,-1,12,-1
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-03-10,-6,-2,-37,8,18,-3
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-03-11,-3,-1,-14,9,19,-2
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-03-12,-3,-1,-20,8,18,-2
BR,Brazil,State of Santa Catarina,NA,NA,BR-SC,NA,2020-03-13,-4,0,-35,4,20,-2
